epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,20144.2,1.68826,0.95481,0.92539,0.93989,0.82473,0.89912,0.42538,1.69546,0.81996,0.94899,0.0003664,0.0003664,0.0003664
98,20370.6,1.66457,0.93702,0.92418,0.95704,0.83766,0.90954,0.45687,1.62512,0.81463,0.93971,0.0003598,0.0003598,0.0003598
99,20584.9,1.67971,0.93146,0.93402,0.92802,0.84571,0.90883,0.45628,1.65511,0.82933,0.94747,0.0003532,0.0003532,0.0003532
100,20810.9,1.67636,0.95372,0.9219,0.92218,0.82978,0.89901,0.45524,1.62859,0.80798,0.94452,0.0003466,0.0003466,0.0003466
101,21024.8,1.66151,0.93788,0.91527,0.94583,0.84041,0.91399,0.46244,1.59133,0.80123,0.93792,0.00034,0.00034,0.00034
102,21252.2,1.63191,0.91183,0.92115,0.91943,0.8427,0.91146,0.46221,1.61305,0.80595,0.936,0.0003334,0.0003334,0.0003334
103,21466.3,1.63516,0.91922,0.91486,0.96248,0.82054,0.9112,0.46741,1.62994,0.81403,0.94099,0.0003268,0.0003268,0.0003268
104,21692.9,1.62515,0.89107,0.91704,0.93212,0.85003,0.90538,0.46692,1.60972,0.79804,0.93678,0.0003202,0.0003202,0.0003202
105,21906.9,1.62668,0.89255,0.91585,0.90054,0.86992,0.90615,0.46388,1.61951,0.80729,0.939,0.0003136,0.0003136,0.0003136
106,22132.7,1.66203,0.91586,0.91653,0.95189,0.86702,0.92152,0.46719,1.62665,0.77967,0.93661,0.000307,0.000307,0.000307
107,22345.8,1.6147,0.91125,0.90165,0.95091,0.87022,0.92343,0.47497,1.59783,0.77041,0.93467,0.0003004,0.0003004,0.0003004
108,22573.8,1.64253,0.90289,0.91069,0.93329,0.84446,0.91298,0.45993,1.64312,0.80224,0.93879,0.0002938,0.0002938,0.0002938
109,22787.3,1.61883,0.88495,0.91477,0.93281,0.8462,0.91235,0.46245,1.62763,0.79983,0.93763,0.0002872,0.0002872,0.0002872
